Organism Name	GenBank Accession	Superkingdom	Temperature Range	Pathogenic	Oxygen Requirement	Salinity	Habitat	Average tAI									
Chlamydophila felis Fe C-56	AP006861	Bacteria	Mesophilic	"Human, Animal"			Host-associated	0.5473907									
Chlorobium chlorochromatii CaD3	CP000108	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.6112564									
Chlorobium phaeobacteroides DSM 266	CP000492	Bacteria	Mesophilic	No	Facultative	Mesophilic	Aquatic	0.4379382									
Chloroflexus aurantiacus J 10 fl	CP000909	Bacteria	Thermophilic	No	Anaerobic		Specialized	0.482233									
Chromobacterium violaceum	AE016825	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2987615									
Citrobacter koseri ATCC BAA-895	CP000822	Bacteria	Mesophilic	"Human, Animal"			Multiple	0.3422665									
Clavibacter michiganensis NCPPB 382	AM711867	Bacteria	Mesophilic	Tomato	Aerobic		Multiple	0.523166									
Clavibacter michiganensis sepedonicus	AM849034	Bacteria	Mesophilic	Plant	Aerobic		Multiple	0.5174265									
Clostridium acetobutylicum	AE001437	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Multiple	0.3969185									
Clostridium botulinum A ATCC 3502	AM412317	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Multiple	0.3312271									
Clostridium botulinum A ATCC 19397	CP000726	Bacteria	Mesophilic	Human	Anaerobic		Multiple	0.3304225									
Clostridium botulinum A Hall	CP000727	Bacteria	Mesophilic	Human	Anaerobic		Multiple	0.3296957									
Clostridium botulinum A3 Loch Maree	CP000962	Bacteria	Mesophilic	Human	Anaerobic		Multiple	0.3368112									
Clostridium botulinum B Eklund 17B	CP001056	Bacteria	Mesophilic	No	Anaerobic		Multiple	0.3575653									
Clostridium botulinum B1 Okra	CP000939	Bacteria	Mesophilic	Human	Anaerobic		Multiple	0.3370234									
Clostridium botulinum F Langeland	CP000728	Bacteria	Mesophilic	Human	Anaerobic		Multiple	0.3379737									
Clostridium difficile 630	AM180355	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Multiple	0.32836									
Clostridium kluyveri DSM 555	CP000673	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Aquatic	0.3034889									
Clostridium novyi NT	CP000382	Bacteria			Anaerobic		Terrestrial	0.2963204									
Clostridium perfringens	BA000016	Bacteria	Mesophilic	"Human, Animal"	Anaerobic	Non-halophilic	Multiple	0.2947119									
Clostridium perfringens ATCC 13124	CP000246	Bacteria	Mesophilic	"Human, Animal"	Anaerobic	Non-halophilic	Multiple	0.2517915									
Clostridium phytofermentans ISDg	CP000885	Bacteria	Mesophilic	No	Anaerobic		Terrestrial	0.4106892									
Clostridium tetani E88	AE015927	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Multiple	0.3488337									
Clostridium thermocellum ATCC 27405	CP000568	Bacteria	Thermophilic	No	Anaerobic		Multiple	0.3650724									
Colwellia psychrerythraea 34H	CP000083	Bacteria	Psychrophilic	No	Facultative		Specialized	0.2343776									
Corynebacterium diphtheriae	CP003207	Bacteria	Mesophilic	Human	Aerobic		Multiple	0.3454886									
Corynebacterium efficiens YS-314	BA000035	Bacteria	Mesophilic	No	Facultative		Multiple	0.3813396									
Corynebacterium glutamicum ATCC 13032 Bielefeld	BX927147	Bacteria	Mesophilic	No	Facultative		Multiple	0.3790789									
Corynebacterium glutamicum ATCC 13032 Kitasato	BA000036	Bacteria	Mesophilic	No	Facultative		Multiple	0.3779495									
Corynebacterium glutamicum R	AP009044	Bacteria	Mesophilic		Facultative		Multiple	0.3673619									
Corynebacterium jeikeium K411	CR931997	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Multiple	0.3727811									
Corynebacterium urealyticum DSM 7109	AM942444	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.4108302									
Coxiella burnetii	AE016828	Bacteria	Mesophilic	"Animal, Human"	Facultative		Multiple	0.4107575									
Coxiella burnetii Dugway 7E9-12	CP000733	Bacteria	Mesophilic	"Animal, Human"	Facultative		Host-associated	0.3147371									
Coxiella burnetii RSA 331	CP000890	Bacteria	Mesophilic	"Animal, Human"	Facultative		Multiple	0.410222									
Cyanobacteria bacterium Yellowstone A-Prime	CP000239	Bacteria	Thermophilic	No	Facultative		Specialized	0.441664									
Cyanobacteria bacterium Yellowstone B-Prime	CP000240	Bacteria	Thermophilic	No	Facultative		Specialized	0.4289459									
Cyanothece ATCC 51142	CP000806	Bacteria	Mesophilic	No	Facultative		Aquatic	0.3668013									
Cytophaga hutchinsonii ATCC 33406	CP000383	Bacteria	Mesophilic	No	Aerobic		Multiple	0.4490695									
Dechloromonas aromatica RCB	CP000089	Bacteria		No	Facultative		Multiple	0.3573452									
Dehalococcoides CBDB1	AJ965256	Bacteria	Mesophilic	No	Anaerobic	Mesophilic	Multiple	0.4258317									
Dehalococcoides ethenogenes 195	CP000027	Bacteria	Mesophilic	No	Anaerobic	Mesophilic	Multiple	0.3022588									
Deinococcus geothermalis DSM 11300	CP000359	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.3739969									
Deinococcus radiodurans	AE000513	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.373025									
Delftia acidovorans SPH-1	CP000884	Bacteria	Mesophilic		Aerobic	Non-halophilic	Multiple	0.4160129									
Desulfitobacterium hafniense Y51	AP008230	Bacteria	Mesophilic		Anaerobic		Specialized	0.3114777									
Desulfotalea psychrophila LSv54	CR522870	Bacteria	Psychrophilic	No	Anaerobic		Specialized	0.2148502									
Desulfotomaculum reducens MI-1	CP000612	Bacteria	Mesophilic	No	Anaerobic	Moderate halophilic	Aquatic	0.3506194									
Desulfovibrio desulfuricans G20	CP000112	Bacteria	Mesophilic	No	Anaerobic		Multiple	0.3786484									
Desulfovibrio vulgaris DP4	CP000527	Bacteria	Mesophilic	No	Anaerobic		Multiple	0.31187									
Desulfovibrio vulgaris Hildenborough	AE017285	Bacteria	Mesophilic	No	Anaerobic		Multiple	0.306261									
Desulfurococcus kamchatkensis 1221n	CP001140	Archaea	Hyperthermophilic	No	Anaerobic		Aquatic	0.4316317									
Dichelobacter nodosus VCS1703A	CP000513	Bacteria	Mesophilic	Animal	Anaerobic		Host-associated	0.3123301									
Ehrlichia canis Jake	CP000107	Bacteria		Dog			Host-associated	0.5189386									
Ehrlichia chaffeensis Arkansas	CP000236	Bacteria		"Human, Animal"			Host-associated	0.5143488									
Ehrlichia ruminantium Gardel	CR925677	Bacteria	Mesophilic	Ruminant			Host-associated	0.5118264									
Ehrlichia ruminantium str. Welgevonden	CR767821	Bacteria	Mesophilic	Ruminant			Host-associated	0.5131536									
Ehrlichia ruminantium str. Welgevonden CIRAD	CR925678	Bacteria	Mesophilic	Ruminant			Host-associated	0.3408073									
Enterobacter 638	CP000653	Bacteria					Host-associated	0.3636182									
Enterobacter sakazakii ATCC BAA-894	CP000783	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Host-associated	0.3727193									
Enterococcus faecalis V583	AE016830	Bacteria	Mesophilic	Human	Facultative		Multiple	0.3732944									
Erythrobacter litoralis HTCC2594	CP000157	Bacteria		No	Aerobic		Aquatic	0.6495916									
Escherichia coli 536	CP000247	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2703679									
Escherichia coli APEC O1	CP000468	Bacteria	Mesophilic	Avian	Facultative		Host-associated	0.2840092									
Escherichia coli C ATCC 8739	CP000946	Bacteria	Mesophilic		Facultative	Non-halophilic	Host-associated	0.3085469									
Escherichia coli CFT073	AE014075	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2895572									
Escherichia coli HS	CP000802	Bacteria	Mesophilic		Facultative		Host-associated	0.3054238									
Escherichia coli K12 subst MG1655	U00096	Bacteria	Mesophilic	No	Facultative		Host-associated	0.3090019									
Escherichia coli O157H7	BA000007	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2376937									
Escherichia coli O157H7 EDL933	AE005174	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2311687									
Escherichia coli SECEC SMS 3 5	CP000970	Bacteria	Mesophilic	No	Facultative		Multiple	0.2593345									
Escherichia coli UTI89	CP000243	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3106678									
Exiguobacterium sibiricum 255 15	CP001022	Bacteria	Psychrophilic		Facultative		Specialized	0.3878009									
Ferroglobus placidus DSM 10642 uid40863	CP001899	Archaea		No	Anaerobic	Mesophilic	Specialized	0.3915477									
Fervidobacterium nodosum Rt17-B1	CP000771	Bacteria	Thermophilic	No	Anaerobic		Specialized	0.369706									
Finegoldia magna ATCC 29328	AP008971	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Multiple	0.4249371									
Francisella philomiragia ATCC 25017	CP000937	Bacteria	Mesophilic	"Human, Animals"	Aerobic		Multiple	0.2746764									
Francisella tularensis FSC 198	AM286280	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Aquatic	0.254148									
Francisella tularensis holarctica FTNF002 00	CP000803	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Multiple	0.2547948									
Francisella tularensis mediasiatica FSC147	CP000915	Bacteria	Mesophilic	"Human, Animal"	Aerobic		Host-associated	0.255573									
Francisella tularensis novicida U112	CP000439	Bacteria	Mesophilic		Aerobic		Multiple	0.2552035									
Francisella tularensis tularensis	AJ749949	Bacteria		"Human, Animal"	Aerobic		Aquatic	0.2541456									
Frankia alni ACN14a	CT573213	Bacteria	Mesophilic	No		Non-halophilic	Host-associated	0.4394948									
Frankia CcI3	CP000249	Bacteria	Mesophilic		Aerobic		Multiple	0.5020354									
Frankia EAN1pec	CP000820	Bacteria	Mesophilic		Aerobic		Multiple	0.3452506									
Fusobacterium nucleatum	AE009951	Bacteria	Mesophilic	"Human, Animal"	Anaerobic		Host-associated	0.3977549									
Geobacillus kaustophilus HTA426	BA000043	Bacteria	Thermophilic		Aerobic		Aquatic	0.3789897									
Geobacillus thermodenitrificans NG80-2	CP000557	Bacteria	Thermophilic		Facultative	Non-halophilic	Specialized	0.3848287									
Geobacter lovleyi SZ	CP001089	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Multiple	0.4354253									
Geobacter metallireducens GS-15	CP000148	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.4345691									
Geobacter sulfurreducens	AE017180	Bacteria	Mesophilic	No	Anaerobic		Multiple	0.4345709									
Geobacter uraniumreducens Rf4	CP000698	Bacteria	Mesophilic		Microaerophilic		Multiple	0.3411127									
Gloeobacter violaceus	BA000045	Bacteria	Mesophilic				Terrestrial	0.7261189									
Gluconobacter oxydans 621H	CP000009	Bacteria	Mesophilic		Aerobic		Multiple	0.2909318									
Gramella forsetii KT0803	CU207366	Bacteria	Mesophilic		Aerobic	Non-halophilic	Multiple	0.296998									
Granulobacter bethesdensis CGDNIH1	CP000394	Bacteria	Mesophilic	Human		Non-halophilic	Multiple	0.348889									
Haemophilus ducreyi 35000HP	AE017143	Bacteria	Mesophilic	Human	Anaerobic		Host-associated	0.3359859									
Haemophilus influenzae	L42023	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3247564									
Haemophilus influenzae 86 028NP	CP000057	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3338217									
Haemophilus influenzae PittEE	CP000671	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.3276096									
Haemophilus influenzae PittGG	CP000672	Bacteria	Mesophilic	Human	Facultative	Mesophilic	Host-associated	0.3321092									
Hahella chejuensis KCTC 2396	CP000155	Bacteria	Mesophilic	No	Facultative	Mesophilic	Aquatic	0.2591888									
Haloarcula marismortui ATCC 43049	AY596297	Archaea	Mesophilic	No	Aerobic	Extreme halophilic	Aquatic	0.4815553									
Halobacterium salinarum R1	AM774415	Archaea	Thermophilic	No	Anaerobic	Extreme halophilic	Specialized	0.4740413									
Halobacterium sp	AE004437	Archaea	Mesophilic	No	Facultative	Extreme halophilic	Specialized	0.4739385									
Haloferax volcanii DS2 uid46845	CP001956	Archaea		No	Aerobic	Moderate halophilic	Aquatic	0.6512333									
Halomicrobium mukohataei DSM 12286	CP001688	Archaea	Mesophilic	No	Facultative	Extreme halophilic	Specialized	0.5586671									
Haloquadratum walsbyi	AM180088	Archaea		No		Extreme halophilic	Aquatic	0.4346707									
Halorhabdus utahensis DSM 12940	CP001687	Archaea	Mesophilic	No	Aerobic	Extreme halophilic	Terrestrial	0.7743347									
Haloterrigena turkmenica DSM 5511 uid43501	CP001860	Archaea		No	Aerobic	Moderate halophilic	Specialized	0.3860959									
Helicobacter acinonychis Sheeba	AM260522	Bacteria	Mesophilic	Feline	Microaerophilic	Non-halophilic	Host-associated	0.3735984									
Helicobacter hepaticus	AE017125	Bacteria	Mesophilic	Animal	Aerobic		Host-associated	0.3692848									
Helicobacter pylori 26695	CP003904	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3736733									
Helicobacter pylori G27	CP001173	Bacteria	Mesophilic		Microaerophilic	Non-halophilic	Host-associated	0.3732107									
Helicobacter pylori HPAG1	CP000241	Bacteria	Mesophilic	Human	Aerobic	Non-halophilic	Host-associated	0.3738248									
Helicobacter pylori J99	AE001439	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3740885									
Heliobacterium modesticaldum Ice1	CP000930	Bacteria	Thermophilic		Anaerobic		Multiple	0.3518995									
Herminiimonas arsenicoxydans	CU207211	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Aquatic	0.394366									
Herpetosiphon aurantiacus ATCC 23779	CP000875	Bacteria	Mesophilic		Aerobic		Multiple	0.345243									
Hydrogenobaculum Y04AAS1	CP001130	Bacteria	Thermophilic	No	Aerobic		Aquatic	0.3658278									
Hyperthermus butylicus	CP000493	Archaea	Hyperthermophilic	No	Anaerobic	Moderate halophilic	Aquatic	0.3864779									
Hyphomonas neptunium ATCC 15444	CP000158	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.4146864									
Idiomarina loihiensis L2TR	AE017340	Bacteria	Mesophilic		Aerobic		Specialized	0.2791466									
Ignicoccus hospitalis KIN4 I	CP000816	Archaea	Hyperthermophilic		Anaerobic		Aquatic	0.4385642									
Jannaschia CCS1	CP000264	Bacteria	Mesophilic	No	Aerobic	Mesophilic	Aquatic	0.424114									
Janthinobacterium Marseille	CP000269	Bacteria	Mesophilic				Aquatic	0.4758571									
Kineococcus radiotolerans SRS30216	CP000750	Bacteria	Mesophilic	No	Aerobic		Multiple	0.4841514									
Klebsiella pneumoniae MGH 78578	CP000647	Bacteria	Mesophilic	"Human, Animal"	Facultative		Multiple	0.3230872									
Lactobacillus acidophilus NCFM	CP000033	Bacteria	Mesophilic	No	Facultative		Multiple	0.4479535									
