Prokaryote Name	Tax ID	Average CAI	Median CAI	Coefficient of Variation (of CAI)	Nc Difference	Average Nc	Salinity	Oxygen Requirment	Habitat	Temp. Range	Pathogenic	Present in the trimmed list	Super Kingdom	GC content (%)
Aciduliprofundum boonei T469 uid43333	439481	0.761992743	0.763	0.037008166	-0.009223073	48.76475109	Mesophilic	Anaerobic	Specialized	Thermophilic	No	Yes	Archaea	0.391579644
Acinetobacter baumannii	509173	0.524299854	0.518	0.138822374	0.214791202	45.57130835		Aerobic	Aquatic	Mesophilic	Human	No	Bacteria	0.393159098
Acinetobacter baumannii AB0057	480119	0.531099823	0.524	0.130920846	0.209679757	45.41173243		Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.391949039
Acinetobacter baumannii AB307 0294	557600	0.533760536	0.524	0.123810492	0.206418887	45.18068072		Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.390436963
Acinetobacter baumannii ACICU	405416	0.514162592	0.505	0.134323205	0.227180815	45.4386109	Non-halophilic	Aerobic	Aquatic	Mesophilic	Human	Yes	Bacteria	0.38932892
Acinetobacter baumannii ATCC 17978	400667	0.498642788	0.488	0.141915765	0.227496643	45.48088331		Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.389209078
Acinetobacter baumannii AYE	509173	0.524299854	0.518	0.138822374	0.214791202	45.57130835		Aerobic	Aquatic	Mesophilic	Human	No	Bacteria	0.393159098
Acinetobacter baumannii SDF	509170	0.518140402	0.506	0.14564938	0.213157427	45.8753638	Non-halophilic	Aerobic	Aquatic	Mesophilic	Human	No	Bacteria	0.391193124
Acinetobacter DR1 uid50119	436717	0.561387824	0.553	0.111808097	0.182494589	45.32558061		Anaerobic		Mesophilic		Yes	Bacteria	0.387320733
Acinetobacter sp ADP1	62977	0.511317413	0.504	0.119300892	0.205610322	46.95506169	Non-halophilic	Aerobic	Multiple	Mesophilic	Human	Yes	Bacteria	0.404295701
Actinobacillus pleuropneumoniae L20	416269	0.472028632	0.452	0.187890908	0.190069969	43.82549258	Non-halophilic	Facultative	Host-associated	Mesophilic	Porcine	Yes	Bacteria	0.412995135
Actinobacillus pleuropneumoniae serovar 3 JL03	434271	0.462145934	0.441	0.202321069	0.185988064	43.72906624	Mesophilic	Facultative	Host-associated		Porcine	No	Bacteria	0.412328316
Actinobacillus pleuropneumoniae serovar 7 AP76	537457	0.48415715	0.467	0.175958448	0.191502719	44.10372057		Facultative	Host-associated	Mesophilic	Porcine	No	Bacteria	0.41226297
Actinobacillus succinogenes 130Z	339671	0.517587423	0.509	0.125158954	0.178304538	46.33993507	Non-halophilic		Host-associated	Mesophilic	No	Yes	Bacteria	0.449185938
Actinosynnema mirum DSM 43827	446462	0.677315558	0.685	0.134610777	-0.014964113	29.16191248			Terrestrial	Mesophilic		Yes	Bacteria	0.737088732
Aeromonas hydrophila ATCC 7966	380703	0.491288756	0.483	0.184966413	0.011461442	36.67344586		Facultative	Multiple	Mesophilic	Animal	Yes	Bacteria	0.615484035
Aeromonas salmonicida A449	382245	0.463593464	0.455	0.191387443	0.122902015	42.55733721		Facultative	Aquatic	Mesophilic	Fish	Yes	Bacteria	0.581809554
Aeropyrum pernix	272557	0.656396313	0.663	0.130107091	0.070867902	44.30394733	Mesophilic	Aerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.563112686
Aggregatibacter actinomycetemcomitans D11S 1	668336	0.537922658	0.53	0.131509676	0.136274565	44.66989434					Human	Yes	Bacteria	0.443506137
Aggregatibacter aphrophilus NJ8700	634176	0.544531498	0.537	0.121353563	0.168115338	45.7154505		Facultative	Host-associated	Mesophilic		Yes	Bacteria	0.422309649
Agrobacterium radiobacter K84	311403	0.536583898	0.536	0.182317838	0.164188909	42.61392433	Non-halophilic	Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.598742249
Agrobacterium tumefaciens C58 Cereon	176299	0.526362538	0.526	0.178936193	0.196894761	43.69783951		Aerobic	Multiple	Mesophilic	Plant	No	Bacteria	0.590411469
Agrobacterium tumefaciens C58 UWash	176299	0.523853415	0.525	0.182108367	0.198374704	43.91689072		Aerobic	Multiple	Mesophilic	Plant	No	Bacteria	0.590413358
Agrobacterium vitis S4	311402	0.545592433	0.545	0.144880637	0.141089734	45.65733013		Aerobic	Multiple	Mesophilic	Grape vines	Yes	Bacteria	0.574707488
Akkermansia muciniphila ATCC BAA 835	349741	0.564572508	0.564	0.143208578	0.119335333	43.69136959		Anaerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.557623544
Alcanivorax borkumensis SK2	393595	0.591367482	0.585	0.125329134	0.098617746	47.67710477	Moderate halophilic	Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.547277801
Alicyclobacillus acidocaldarius DSM 446	521098	0.636335682	0.657	0.152643569	0.070076216	42.63218917		Aerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.61892088
Aliivibrio salmonicida LFI1238	316275	0.463195888	0.444	0.182953838	0.215023944	47.04006557		Facultative	Aquatic	Psychrophilic	Fis	Yes	Bacteria	0.389692415
Alkalilimnicola ehrlichei MLHE-1	187272	0.651565702	0.662	0.138664809	0.020916918	35.56159985		Facultative	Aquatic		No	Yes	Bacteria	0.675312521
Alkaliphilus metalliredigens QYMF	293826	0.594361437	0.593	0.09878515	0.137948811	47.61801821	Moderate halophilic			Mesophilic	No	Yes	Bacteria	0.368220245
Alkaliphilus oremlandii OhILAs	350688	0.539654188	0.53	0.14848347	0.210566253	47.7559946		Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.362573066
Allochromatium vinosum DSM 180 uid46083	572477	0.64289748	0.659	0.161967939	0.071309215	38.66760422		Facultative	Aquatic	Mesophilic	No	Yes	Bacteria	0.641861407
alpha proteobacterium IMCC1322 uid47081	488538	0.695671008	0.698	0.068501933	0.0547596	49.93615			Aquatic			No	Bacteria	0.488537065
Alteromonas macleodii  Deep ecotype 	314275	0.483377006	0.467	0.150826202	0.249093063	53.14713014		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.44879134
Aminobacterium colombiense DSM 12261 uid47083	572547	0.726230186	0.727	0.03594866	0.012592566	53.79810897		Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.453068577
Ammonifex degensii KC4	429009	0.652940044	0.656	0.09681074	0.044403639	45.7564978		Anaerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.594651441
Amycolatopsis mediterranei U32 uid50565	749927	0.670832468	0.682	0.126148442	0.034361927	31.0856489		Aerobic		Mesophilic		Yes	Bacteria	0.712927927
Anabaena variabilis ATCC 29413	240292	0.69555	0.696	0.047856524	0.002351046	50.71387882		Aerobic	Multiple		No	Yes	Bacteria	0.41409748
Anaerocellum thermophilum DSM 6725	521460	0.67788709	0.679	0.053454635	0.077362813	44.73208138		Anaerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.351916421
Anaerococcus prevotii DSM 20548	525919	0.614853988	0.602	0.137652683	0.161604178	43.57578282		Anaerobic	Host-associated	Mesophilic	Yes	Yes	Bacteria	0.356389092
Anaeromyxobacter dehalogenans 2CP 1	455488	0.764293091	0.783	0.113468186	0.02705962	29.2014		Facultative	Terrestrial	Mesophilic	No	No	Bacteria	0.74716488
Anaeromyxobacter dehalogenans 2CP-C	290397	0.75771394	0.78	0.134465308	0.039211472	29.2761348		Facultative	Terrestrial	Mesophilic	No	Yes	Bacteria	0.749052704
Anaeromyxobacter Fw109-5	404589	0.712627632	0.73	0.137964084	0.070994294	30.71533144		Anaerobic	Terrestrial		No	Yes	Bacteria	0.735314012
Anaeromyxobacter K	447217	0.76261661	0.78	0.115198101	0.03367892	29.05744037	Non-halophilic	Anaerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.748406838
Anaplasma centrale Israel	574556	0.678662338	0.678	0.053502867	0.088634204	55.21908146		Aerobic	Host-associated	Mesophilic	Cattle	Yes	Bacteria	0.499849189
Anaplasma marginale Florida	320483	0.696838303	0.695	0.046147899	0.061322708	55.72480161		Aerobic	Host-associated	Mesophilic	Cattle	No	Bacteria	0.497744992
Anaplasma marginale St Maries	234826	0.690169143	0.69	0.048235477	0.061653944	55.758368		Aerobic	Host-associated		Cattle	Yes	Bacteria	0.497626675
Anaplasma phagocytophilum HZ	212042	0.601714964	0.6005	0.081631492	0.122880391	51.57456651		Aerobic	Host-associated	Mesophilic	"Human, Animal"	Yes	Bacteria	0.416359338
Anoxybacillus flavithermus WK1	491915	0.551867587	0.548	0.112626544	0.166070015	47.57020755		Facultative	Specialized	Thermophilic	No	Yes	Bacteria	0.417767514
Aquifex aeolicus	224324	0.674511199	0.674	0.074394362	0.073684814	47.24699407		Aerobic	Specialized	Hyperthermophilic	No	Yes	Bacteria	0.433016028
Arcanobacterium haemolyticum DSM 20595 uid49489	644284	0.502508906	0.482	0.196656611	0.190062902	46.61171628		Facultative	Host-associated	Mesophilic	Human	Yes	Bacteria	0.531332414
Archaeoglobus fulgidus	224325	0.703866476	0.714	0.082750678	0.069157212	48.42037244		Anaerobic	Aquatic	Hyperthermophilic	No	Yes	Archaea	0.485816654
Archaeoglobus profundus DSM 5631 uid43493	572546	0.691714758	0.695	0.055648417	0.05917652	48.97834811		Anaerobic	Specialized	Hyperthermophilic	No	Yes	Archaea	0.420045631
Arcobacter butzleri RM4018	367737	0.680582613	0.679	0.084347405	0.054072136	32.9150024		Aerobic	Multiple	Mesophilic	Human	Yes	Bacteria	0.270451566
Arcobacter nitrofigilis DSM 7299 uid49001	572480	0.655852453	0.655	0.09541228	0.068922061	35.25374126		Microaerophilic	Multiple	Mesophilic	No	Yes	Bacteria	0.283608506
Aromatoleum aromaticum EbN1	76114	0.649733611	0.6775	0.185762064	0.041495364	39.2035954	Non-halophilic	Facultative	Terrestrial	Mesophilic	No	Yes	Bacteria	0.646976099
Arthrobacter aurescens TC1	290340	0.50008661	0.486	0.195374057	0.193791547	43.53577341	Non-halophilic	Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.624298594
Arthrobacter chlorophenolicus A6	452863	0.545946844	0.538	0.178191639	0.099324335	37.39116184		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.659586425
Arthrobacter FB24	290399	0.532891131	0.523	0.174167924	0.107220099	38.98323909				Mesophilic	No	Yes	Bacteria	0.653884506
Aster yellows witches-broom phytoplasma AYWB	322098	0.701837165	0.704	0.074559618	-0.037473617	38.40982184		Aerobic	Host-associated	Mesophilic	Plant	Yes	Bacteria	0.268117463
Atopobium parvulum DSM 20469	521095	0.531090184	0.51	0.222282927	0.185572818	46.37711014		Anaerobic	Host-associated	Mesophilic		Yes	Bacteria	0.45686599
Azoarcus BH72	62928	0.690637507	0.707	0.14664865	-0.031526803	33.43995479		Microaerophilic	Host-associated	Mesophilic	No	Yes	Bacteria	0.679164496
Azoarcus sp EbN1	76114	0.64947227	0.677	0.186180092	0.041782814	39.21527193	Non-halophilic	Facultative	Terrestrial	Mesophilic	No	No	Bacteria	0.646976099
Azorhizobium caulinodans ORS 571	438753	0.645127813	0.652	0.148334816	0.100206792	35.22528915			Host-associated			Yes	Bacteria	0.673190221
Azospirillum B510 uid46085	137722	0.5769001	0.586	0.187552171	0.126029507	34.59512275			Terrestrial	Mesophilic	No	Yes	Bacteria	0.676127914
Azotobacter vinelandii DJ	322710	0.631708166	0.647	0.162316098	-0.002281329	34.90807787		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.65675548
Bacillus amyloliquefaciens FZB42	326423	0.444960688	0.435	0.133106629	0.209877169	50.83557494		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.464756574
Bacillus anthracis A0248	592021	0.494574713	0.479	0.165570136	0.181197971	43.41424851		Facultative	Multiple	Mesophilic	"Human, Animal"	No	Bacteria	0.35242952
Bacillus anthracis Ames	198094	0.494349206	0.479	0.166223857	0.180732966	43.38971935		Facultative	Multiple	Mesophilic	Animal	Yes	Bacteria	0.353768385
Bacillus anthracis Ames 0581	261594	0.493285006	0.478	0.166421829	0.18204209	43.45992446		Facultative	Terrestrial	Mesophilic	Animal	No	Bacteria	0.35242952
Bacillus anthracis CDC 684	568206	0.4919761	0.477	0.164956005	0.182187453	43.47125888				Mesophilic	Animal	No	Bacteria	0.352466594
Bacillus anthracis str Sterne	260799	0.496819965	0.482	0.163438438	0.179258315	43.47282258		Facultative	Multiple	Mesophilic	Animal	No	Bacteria	0.35379446
Bacillus cereus 03BB102	572264	0.49425136	0.48	0.162912263	0.181338028	43.41783221		Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.353326331
Bacillus cereus AH187	405534	0.492275276	0.479	0.161772706	0.184990805	43.55682477	Non-halophilic	Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.355105139
Bacillus cereus AH820	405535	0.490618837	0.476	0.164831619	0.181826809	43.43525242	Non-halophilic	Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.353102859
Bacillus cereus ATCC 10987	222523	0.498309447	0.485	0.155060755	0.186438364	43.65950549		Aerobic	Terrestrial	Mesophilic	Human	No	Bacteria	0.354967546
Bacillus cereus ATCC14579	226900	0.529770769	0.517	0.144974141	0.156466154	43.34824434		Aerobic	Terrestrial	Mesophilic	Human	Yes	Bacteria	0.352883492
Bacillus cereus B4264	405532	0.513509704	0.5	0.149986437	0.176533247	43.27760212	Non-halophilic	Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.353035669
Bacillus cereus cytotoxis NVH 391-98	315749	0.487587604	0.475	0.153074894	0.208094634	43.77744922	Non-halophilic	Aerobic	Terrestrial	Mesophilic	Human	No	Bacteria	0.358669998
Bacillus cereus G9842	405531	0.518595307	0.506	0.143121555	0.165602718	43.21958596	Non-halophilic	Aerobic	Multiple	Mesophilic	Human	No	Bacteria	0.350154955
Bacillus cereus Q1	361100	0.481377821	0.466	0.172007196	0.182882928	43.53352138		Aerobic	Terrestrial	Mesophilic	No	No	Bacteria	0.354679728
Bacillus cereus ZK	288681	0.519535271	0.507	0.146792085	0.173402158	43.51505997		Aerobic	Terrestrial	Mesophilic	"Human, Animal"	No	Bacteria	0.351272027
Bacillus clausii KSM-K16	66692	0.581930696	0.581	0.085404386	0.166883504	52.94749336				Mesophilic	No	Yes	Bacteria	0.447533163
Bacillus halodurans	272558	0.553972144	0.549	0.087987816	0.219261976	54.1270695		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.436855123
Bacillus licheniformis ATCC 14580	279010	0.476139328	0.47	0.107138426	0.196370006	52.14206023		Facultative	Terrestrial	Mesophilic	Human	Yes	Bacteria	0.461943917
Bacillus licheniformis DSM 13	279010	0.475952653	0.47	0.106626806	0.197023654	52.18604082		Facultative	Terrestrial	Mesophilic	Human	No	Bacteria	0.461947429
Bacillus megaterium DSM319 uid48371	592022	0.474685289	0.464	0.13620606	0.267841186	48.60436965		Aerobic	Multiple	Mesophilic		Yes	Bacteria	0.381316373
Bacillus megaterium QM B1551 uid15862	545693	0.463796416	0.453	0.14445555	0.26315904	48.47488795		Aerobic	Multiple	Mesophilic	No	No	Bacteria	0.379264382
Bacillus pseudofirmus OF4 uid45847	398511	0.503551619	0.492	0.138181994	0.238989764	50.29858345		Facultative	Terrestrial	Mesophilic		Yes	Bacteria	0.398605589
Bacillus pumilus SAFR-032	315750	0.48891405	0.479	0.121654496	0.246889897	51.68116048		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.412869065
Bacillus selenitireducens MLS10 uid49513	439292	0.682208791	0.679	0.054272234	0.071309718	51.33596497	Moderate halophilic	Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.486699604
Bacillus subtilis	224308	0.425721761	0.414	0.152691812	0.265629073	52.41936794		Facultative	Terrestrial	Mesophilic	No	Yes	Bacteria	0.435144081
Bacillus thuringiensis Al Hakam	412694	0.4952198	0.48	0.164540477	0.165552738	43.5079782		Facultative	Multiple	Mesophilic	Insect	Yes	Bacteria	0.354337356
Bacillus thuringiensis BMB171 uid49135	714359	0.514097978	0.5	0.154540095	0.175713571	43.0925852				Mesophilic		No	Bacteria	0.351764675
Bacillus thuringiensis konkukian	281309	0.489528036	0.475	0.165844147	0.182278131	43.4558701		Facultative	Multiple	Mesophilic	Insect	No	Bacteria	0.353652344
Bacillus tusciae DSM 2912 uid48361	562970	0.73848104	0.743	0.074385881	-0.023446889	47.6098736	Non-halophilic	Aerobic		Thermophilic		Yes	Bacteria	0.591141308
Bacillus weihenstephanensis KBAB4	315730	0.534025907	0.523	0.132308879	0.153539685	43.80914819	Non-halophilic	Aerobic	Terrestrial	Mesophilic	Human	Yes	Bacteria	0.354831635
Bacteroides fragilis NCTC 9434	272559	0.529471791	0.526	0.118307308	0.153410844	50.49994824		Anaerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.431141805
Bacteroides fragilis YCH46	295405	0.528652833	0.526	0.117197059	0.156334767	50.65037749		Anaerobic		Mesophilic	Human	No	Bacteria	0.43204299
Bacteroides thetaiotaomicron VPI-5482	226186	0.52048292	0.518	0.13556936	0.164864109	50.23335477		Anaerobic	Host-associated	Mesophilic	Mammal	Yes	Bacteria	0.42860289
Bacteroides vulgatus ATCC 8482	435590	0.533865867	0.532	0.125329304	0.162860225	49.51458693		Anaerobic	Host-associated	Mesophilic	Mammal	Yes	Bacteria	0.42201496
Bartonella bacilliformis KC583	360095	0.617667297	0.621	0.077004823	0.092632521	44.34099338		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.38238683
Bartonella grahamii as4aup	634504	0.589516005	0.593	0.08529953	0.105176249	45.45139052		Aerobic	Host-associated	Mesophilic	"Human, Animal"	Yes	Bacteria	0.38037324
Bartonella henselae Houston-1	283166	0.598807044	0.602	0.080406501	0.096124924	45.41534227		Aerobic	Host-associated	Mesophilic	"Human, Animal"	Yes	Bacteria	0.382303486
Bartonella quintana Toulouse	283165	0.603027358	0.603	0.072058512	0.112806702	45.85394811		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.387968387
Bartonella tribocorum CIP 105476	382640	0.591869972	0.593	0.08353599	0.112629096	45.94801433		Aerobic	Host-associated	Mesophilic	Rat	Yes	Bacteria	0.38822224
Baumannia cicadellinicola Homalodisca coagulata	374463	0.641631579	0.637	0.073813053	0.104318152	40.75916878			Host-associated		No	Yes	Bacteria	0.33236175
Bdellovibrio bacteriovorus	264462	0.463807023	0.448	0.162661761	0.170637726	47.39712365		Aerobic	Multiple	Mesophilic	Gram-negative bacteria	Yes	Bacteria	0.506455015
Beijerinckia indica ATCC 9039	395963	0.607895561	0.619	0.134364098	0.118006236	46.69703075		Aerobic		Mesophilic		Yes	Bacteria	0.569829557
Beutenbergia cavernae DSM 12333	471853	0.721914428	0.727	0.083106084	0.060578643	31.08525249		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.731165816
Bifidobacterium adolescentis ATCC 15703	367928	0.498904884	0.4845	0.303248372	0.198873489	40.05658033	Non-halophilic	Anaerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.591843395
Bifidobacterium animalis lactis AD011	442563	0.53487642	0.525	0.194238328	0.149501294	40.05297869	Non-halophilic	Anaerobic	Multiple	Mesophilic		Yes	Bacteria	0.604903565
Bifidobacterium animalis lactis Bl 04	580050	0.520702741	0.513	0.210482273	0.163518769	39.97105552	Non-halophilic	Anaerobic	Multiple	Mesophilic		No	Bacteria	0.604821355
Bifidobacterium animalis lactis DSM 10140	555970	0.520242616	0.512	0.211055303	0.163964031	39.9935879		Anaerobic	Multiple	Mesophilic	No	No	Bacteria	0.604821303
Bifidobacterium dentium Bd1	401473	0.50451217	0.49	0.240437509	0.223582349	41.30839099	Non-halophilic	Anaerobic		Mesophilic	Human	Yes	Bacteria	0.585367352
Bifidobacterium longum	206672	0.483489349	0.465	0.321473419	0.213792633	40.04593792	Non-halophilic	Anaerobic	Host-associated	Mesophilic	No	No	Bacteria	0.601273478
Bifidobacterium longum infantis ATCC 15697	391904	0.456954483	0.434	0.324249663	0.233792891	40.63927856		Anaerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.598631435
Bifidobacterium longum JDM301 uid49131	759350	0.505941143	0.4835	0.284591776	0.204006951	39.79765415		Aerobic	Host-associated	Mesophilic	No	No	Bacteria	0.59814887
Blattabacterium  Blattella germanica  Bge	331104	0.686547445	0.688	0.053869053	0.031380939	35.69147263		Aerobic	Host-associated	Mesophilic		Yes	Bacteria	0.271417131
Blattabacterium  Periplaneta americana  BPLAN	600809	0.663252302	0.665	0.061241707	0.058096089	37.3346372			Host-associated			Yes	Bacteria	0.282122347
Bordetella avium 197N	360910	0.537465011	0.535	0.168983586	0.138838349	42.09730539		Aerobic	Host-associated		Animal	Yes	Bacteria	0.615825821
Bordetella bronchiseptica	257310	0.649261607	0.66	0.141823171	-0.018840981	33.08030252		Aerobic	Host-associated	Mesophilic	Animal	Yes	Bacteria	0.680770208
Bordetella parapertussis	257311	0.657198341	0.665	0.129429507	-0.026277443	33.01538462		Aerobic	Host-associated	Mesophilic	"Human, Sheep"	Yes	Bacteria	0.680999533
Bordetella pertussis	257313	0.651223793	0.66	0.13762983	-0.014280064	33.25467292		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.677205827
Bordetella petrii	340100	0.565933461	0.582	0.202947382	0.085294384	36.67757037		Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.654828242
Borrelia afzelii PKo	390236	0.659573896	0.673	0.09636337	0.049473502	39.20020633	Non-halophilic	Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.277032186
Borrelia burgdorferi	224326	0.656268769	0.6575	0.090258832	0.055856959	40.0978048		Microaerophilic	Host-associated	Mesophilic	Human	No	Bacteria	0.281699093
Borrelia burgdorferi ZS7	445985	0.657393722	0.664	0.091974271	0.052528793	39.7098565		Microaerophilic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.282670464
Borrelia duttonii Ly	412419	0.670560193	0.684	0.108769811	0.010235075	37.21002889		Aerobic	Host-associated	Psychrophilic	Human	Yes	Bacteria	0.280115767
Borrelia garinii PBi	290434	0.655666137	0.664	0.100011592	0.038113288	39.76992687			Host-associated	Mesophilic	Human	Yes	Bacteria	0.280913759
Borrelia hermsii DAH	314723	0.672845855	0.6985	0.106322407	0.028228444	39.33821244		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.298277038
Borrelia recurrentis A1	412418	0.680557672	0.704	0.108189303	-0.002975991	36.5974709		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.275256006
Borrelia turicatae 91E135	314724	0.668033592	0.697	0.110214179	0.004309408	38.44244832		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.291189648
Brachybacterium faecium DSM 4810	446465	0.735558491	0.747	0.115990008	0.026043045	30.48159451		Aerobic	Terrestrial		No	Yes	Bacteria	0.720457749
Brachyspira hyodysenteriae WA1	565034	0.745259168	0.747	0.05834423	-0.076141593	33.89838278		Facultative	Host-associated	Mesophilic	Yes	Yes	Bacteria	0.270007186
Brachyspira murdochii DSM 12563 uid48819	526224	0.724779406	0.725	0.060703153	-0.033847568	35.85219861		Facultative	Host-associated	Mesophilic	No	Yes	Bacteria	0.27751431
Bradyrhizobium BTAi1	288000	0.578693605	0.593	0.180630793	0.160050892	37.59959944		Aerobic	Host-associated	Mesophilic		Yes	Bacteria	0.648061997
Bradyrhizobium japonicum	224911	0.576479393	0.602	0.217695239	0.180152051	39.100986		Aerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.640593804
Bradyrhizobium ORS278	114615	0.609606456	0.623	0.162826104	0.122483878	35.84560896			Host-associated	Mesophilic	No	Yes	Bacteria	0.65510387
Brevibacillus brevis NBRC 100599	358681	0.423351465	0.409	0.153305673	0.278168933	54.30148152		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.472735528
Brucella abortus 9-941	262698	0.554433977	0.553	0.16687229	0.179905719	43.72035174		Facultative	Host-associated	Mesophilic	"Human, Cattle"	Yes	Bacteria	0.572193358
Brucella abortus bv  1 9 941	262698	0.554433977	0.553	0.16687229	0.179905719	43.72035174		Facultative	Host-associated	Mesophilic	"Human, Cattle"	No	Bacteria	0.572193358
Brucella abortus S19	430066	0.586983402	0.586	0.145873436	0.169853576	43.63645832	Non-halophilic	Facultative	Multiple	Mesophilic	Mammal	No	Bacteria	0.572216694
Brucella canis ATCC 23365	483179	0.54935709	0.548	0.170419552	0.182096745	43.72829505					"Dog, Human"	Yes	Bacteria	0.572426571
Brucella melitensis	224914	0.547344366	0.547	0.168845497	0.179434891	44.03247254		Aerobic	Host-associated	Mesophilic	"Human, Animal"	No	Bacteria	0.572224645
Brucella melitensis ATCC 23457	546272	0.553082415	0.55	0.157086907	0.182423118	43.70614128		Facultative	Host-associated	Mesophilic	"Human, Animal"	Yes	Bacteria	0.572212228
Brucella melitensis biovar Abortus	359391	0.556583593	0.554	0.164149859	0.178567549	43.68659059		Facultative	Host-associated	Mesophilic	"Human, cattle"	No	Bacteria	0.572218526
