Refseq	taxid
GCF_000009305.1_ASM930v1_genomic.gff	382638
GCF_000009325.1_ASM932v1_genomic.gff	393115
GCF_000009345.1_ASM934v1_genomic.gff	393305
GCF_000009345.1_ASM934v1_genomic.gff	393305
GCF_000009365.1_ASM936v1_genomic.gff	393595
GCF_000009385.1_ASM938v1_genomic.gff	160491
GCF_000009425.1_ASM942v1_genomic.gff	416870
GCF_000009445.1_ASM944v1_genomic.gff	410289
GCF_000009465.1_ASM946v1_genomic.gff	272831
GCF_000009605.1_ASM960v1_genomic.gff	107806
GCF_000009605.1_ASM960v1_genomic.gff	107806
GCF_000009605.1_ASM960v1_genomic.gff	107806
GCF_000009625.1_ASM962v1_genomic.gff	266835
GCF_000009625.1_ASM962v1_genomic.gff	266835
GCF_000009625.1_ASM962v1_genomic.gff	266835
GCF_000009645.1_ASM964v1_genomic.gff	158879
GCF_000009645.1_ASM964v1_genomic.gff	158879
GCF_000009665.1_ASM966v1_genomic.gff	158878
GCF_000009665.1_ASM966v1_genomic.gff	158878
GCF_000009685.1_ASM968v1_genomic.gff	195102
GCF_000009685.1_ASM968v1_genomic.gff	195102
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009705.1_ASM970v1_genomic.gff	103690
GCF_000009725.1_ASM972v1_genomic.gff	1148
GCF_000009725.1_ASM972v1_genomic.gff	1148
GCF_000009725.1_ASM972v1_genomic.gff	1148
GCF_000009725.1_ASM972v1_genomic.gff	1148
GCF_000009725.1_ASM972v1_genomic.gff	1148
GCF_000009745.1_ASM974v1_genomic.gff	196600
GCF_000009745.1_ASM974v1_genomic.gff	196600
GCF_000009745.1_ASM974v1_genomic.gff	196600
GCF_000009765.2_ASM976v2_genomic.gff	227882
GCF_000009765.2_ASM976v2_genomic.gff	227882
GCF_000009785.1_ASM978v1_genomic.gff	235909
GCF_000009785.1_ASM978v1_genomic.gff	235909
GCF_000009805.1_ASM980v1_genomic.gff	247156
GCF_000009805.1_ASM980v1_genomic.gff	247156
GCF_000009805.1_ASM980v1_genomic.gff	247156
GCF_000009865.1_ASM986v1_genomic.gff	279808
GCF_000009865.1_ASM986v1_genomic.gff	279808
GCF_000009865.1_ASM986v1_genomic.gff	279808
GCF_000009865.1_ASM986v1_genomic.gff	279808
GCF_000009905.1_ASM990v1_genomic.gff	292459
GCF_000009945.1_ASM994v1_genomic.gff	264202
GCF_000009945.1_ASM994v1_genomic.gff	264202
GCF_000009965.1_ASM996v1_genomic.gff	69014
GCF_000009985.1_ASM998v1_genomic.gff	342108
GCF_000010025.1_ASM1002v1_genomic.gff	342109
GCF_000010045.1_ASM1004v1_genomic.gff	138119
GCF_000010065.1_ASM1006v1_genomic.gff	269084
GCF_000010085.1_ASM1008v1_genomic.gff	343509
GCF_000010085.1_ASM1008v1_genomic.gff	343509
GCF_000010085.1_ASM1008v1_genomic.gff	343509
GCF_000010085.1_ASM1008v1_genomic.gff	343509
GCF_000010125.1_ASM1012v1_genomic.gff	342451
GCF_000010125.1_ASM1012v1_genomic.gff	342451
GCF_000010125.1_ASM1012v1_genomic.gff	342451
GCF_000010145.1_ASM1014v1_genomic.gff	334390
GCF_000010185.1_ASM1018v1_genomic.gff	334413
GCF_000010185.1_ASM1018v1_genomic.gff	334413
GCF_000010225.1_ASM1022v1_genomic.gff	340322
GCF_000010225.1_ASM1022v1_genomic.gff	340322
GCF_000010325.1_ASM1032v1_genomic.gff	387092
GCF_000010345.1_ASM1034v1_genomic.gff	387093
GCF_000010365.1_ASM1036v1_genomic.gff	387662
GCF_000010425.1_ASM1042v1_genomic.gff	367928
GCF_000010445.1_ASM1044v1_genomic.gff	418127
GCF_000010525.1_ASM1052v1_genomic.gff	438753
GCF_000010605.1_ASM1060v1_genomic.gff	455632
GCF_000010625.1_ASM1062v1_genomic.gff	449447
GCF_000010645.1_ASM1064v1_genomic.gff	511995
GCF_000010645.1_ASM1064v1_genomic.gff	511995
GCF_000010645.1_ASM1064v1_genomic.gff	511995
GCF_000010645.1_ASM1064v1_genomic.gff	511995
GCF_000010645.1_ASM1064v1_genomic.gff	511995
GCF_000011065.1_ASM1106v1_genomic.gff	226186
GCF_000011065.1_ASM1106v1_genomic.gff	226186
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011085.1_ASM1108v1_genomic.gff	272569
GCF_000011105.1_ASM1110v1_genomic.gff	70601
GCF_000011125.1_ASM1112v1_genomic.gff	272557
GCF_000011145.1_ASM1114v1_genomic.gff	272558
GCF_000011185.1_ASM1118v1_genomic.gff	273116
GCF_000011205.1_ASM1120v1_genomic.gff	273063
GCF_000011225.1_ASM1122v1_genomic.gff	272633
GCF_000011245.1_ASM1124v1_genomic.gff	221109
GCF_000011265.1_ASM1126v1_genomic.gff	196620
GCF_000011285.1_ASM1128v1_genomic.gff	193567
GCF_000011305.1_ASM1130v1_genomic.gff	196164
GCF_000011305.1_ASM1130v1_genomic.gff	196164
GCF_000011305.1_ASM1130v1_genomic.gff	196164
GCF_000011325.1_ASM1132v1_genomic.gff	196627
GCF_000011345.1_ASM1134v1_genomic.gff	197221
GCF_000011365.1_ASM1136v1_genomic.gff	224911
GCF_000011385.1_ASM1138v1_genomic.gff	251221
GCF_000011445.1_ASM1144v1_genomic.gff	272632
GCF_000011465.1_ASM1146v1_genomic.gff	59919
GCF_000011485.1_ASM1148v1_genomic.gff	74547
GCF_000011505.1_ASM1150v1_genomic.gff	282458
GCF_000011525.1_ASM1152v1_genomic.gff	282459
GCF_000011525.1_ASM1152v1_genomic.gff	282459
GCF_000011545.1_ASM1154v1_genomic.gff	272560
GCF_000011545.1_ASM1154v1_genomic.gff	272560
GCF_000011585.1_ASM1158v1_genomic.gff	267377
GCF_000011625.1_ASM1162v1_genomic.gff	288681
GCF_000011625.1_ASM1162v1_genomic.gff	288681
GCF_000011625.1_ASM1162v1_genomic.gff	288681
GCF_000011625.1_ASM1162v1_genomic.gff	288681
GCF_000011625.1_ASM1162v1_genomic.gff	288681
GCF_000011625.1_ASM1162v1_genomic.gff	288681
GCF_000011645.1_ASM1164v1_genomic.gff	279010
GCF_000011665.1_ASM1166v1_genomic.gff	286636
GCF_000011685.1_ASM1168v1_genomic.gff	290633
GCF_000011685.1_ASM1168v1_genomic.gff	290633
GCF_000011685.1_ASM1168v1_genomic.gff	290633
GCF_000011685.1_ASM1168v1_genomic.gff	290633
GCF_000011685.1_ASM1168v1_genomic.gff	290633
GCF_000011685.1_ASM1168v1_genomic.gff	290633
GCF_000011705.1_ASM1170v1_genomic.gff	243160
GCF_000011705.1_ASM1170v1_genomic.gff	243160
GCF_000011765.3_ASM1176v2_genomic.gff	293653
GCF_000011825.1_ASM1182v1_genomic.gff	264199
GCF_000011845.1_ASM1184v1_genomic.gff	299768
GCF_000011865.1_ASM1186v1_genomic.gff	195099
GCF_000011885.1_ASM1188v1_genomic.gff	295319
GCF_000011905.1_ASM1190v1_genomic.gff	243164
GCF_000011925.1_ASM1192v1_genomic.gff	176279
GCF_000011925.1_ASM1192v1_genomic.gff	176279
GCF_000011945.1_ASM1194v1_genomic.gff	234826
GCF_000011985.1_ASM1198v1_genomic.gff	272621
GCF_000012005.1_ASM1200v1_genomic.gff	300267
GCF_000012005.1_ASM1200v1_genomic.gff	300267
GCF_000012005.1_ASM1200v1_genomic.gff	300267
GCF_000012025.1_ASM1202v1_genomic.gff	300268
GCF_000012025.1_ASM1202v1_genomic.gff	300268
GCF_000012045.1_ASM1204v1_genomic.gff	93062
GCF_000012045.1_ASM1204v1_genomic.gff	93062
GCF_000012105.1_ASM1210v1_genomic.gff	314565
GCF_000012125.1_ASM1212v1_genomic.gff	315277
GCF_000012125.1_ASM1212v1_genomic.gff	315277
GCF_000012165.2_ASM1216v2_genomic.gff	319701
GCF_000012185.1_ASM1218v1_genomic.gff	281310
GCF_000012225.1_ASM1222v1_genomic.gff	322098
GCF_000012225.1_ASM1222v1_genomic.gff	322098
GCF_000012225.1_ASM1222v1_genomic.gff	322098
GCF_000012225.1_ASM1222v1_genomic.gff	322098
GCF_000012225.1_ASM1222v1_genomic.gff	322098
GCF_000012245.1_ASM1224v1_genomic.gff	205918
GCF_000012265.1_ASM1226v1_genomic.gff	220664
GCF_000012285.1_ASM1228v1_genomic.gff	330779
GCF_000012305.1_ASM1230v1_genomic.gff	259536
GCF_000012325.1_ASM1232v1_genomic.gff	167879
GCF_000012345.1_ASM1234v1_genomic.gff	335992
GCF_000012365.1_ASM1236v1_genomic.gff	271848
GCF_000012365.1_ASM1236v1_genomic.gff	271848
GCF_000012385.1_ASM1238v1_genomic.gff	336407
GCF_000012445.1_ASM1244v1_genomic.gff	205922
GCF_000012465.1_ASM1246v1_genomic.gff	59920
GCF_000012505.1_ASM1250v1_genomic.gff	316279
GCF_000012525.1_ASM1252v1_genomic.gff	1140
GCF_000012525.1_ASM1252v1_genomic.gff	1140
GCF_000012545.1_ASM1254v1_genomic.gff	339860
GCF_000012565.1_ASM1256v1_genomic.gff	269484
GCF_000012625.1_ASM1262v1_genomic.gff	110662
GCF_000012645.1_ASM1264v1_genomic.gff	74546
GCF_000012665.1_ASM1266v1_genomic.gff	207559
GCF_000012685.1_ASM1268v1_genomic.gff	246197
GCF_000012705.1_ASM1270v1_genomic.gff	205921
GCF_000012725.1_ASM1272v1_genomic.gff	323098
GCF_000012745.1_ASM1274v1_genomic.gff	292415
GCF_000012765.1_ASM1276v1_genomic.gff	340047
GCF_000012785.1_ASM1278v1_genomic.gff	320372
GCF_000012785.1_ASM1278v1_genomic.gff	320372
GCF_000012805.1_ASM1280v1_genomic.gff	323261
GCF_000012805.1_ASM1280v1_genomic.gff	323261
GCF_000012825.1_ASM1282v1_genomic.gff	435590
GCF_000012845.1_ASM1284v1_genomic.gff	435591
GCF_000012865.1_ASM1286v1_genomic.gff	246194
GCF_000012885.1_ASM1288v1_genomic.gff	338963
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012905.2_ASM1290v2_genomic.gff	272943
GCF_000012925.1_ASM1292v1_genomic.gff	269799
GCF_000012925.1_ASM1292v1_genomic.gff	269799
GCF_000012945.1_ASM1294v1_genomic.gff	482957
GCF_000012945.1_ASM1294v1_genomic.gff	482957
GCF_000012945.1_ASM1294v1_genomic.gff	482957
GCF_000012985.1_ASM1298v1_genomic.gff	349521
GCF_000013005.1_ASM1300v1_genomic.gff	314225
GCF_000013025.1_ASM1302v1_genomic.gff	228405
GCF_000013045.1_ASM1304v1_genomic.gff	309807
GCF_000013045.1_ASM1304v1_genomic.gff	309807
GCF_000013085.1_ASM1308v1_genomic.gff	269796
GCF_000013085.1_ASM1308v1_genomic.gff	269796
GCF_000013125.1_ASM1312v1_genomic.gff	212042
GCF_000013145.1_ASM1314v1_genomic.gff	205920
GCF_000013165.1_ASM1316v1_genomic.gff	222891
GCF_000013205.1_ASM1320v1_genomic.gff	321327
GCF_000013225.1_ASM1322v1_genomic.gff	321332
GCF_000013245.1_ASM1324v1_genomic.gff	357544
GCF_000013245.1_ASM1324v1_genomic.gff	357544
GCF_000013265.1_ASM1326v1_genomic.gff	364106
GCF_000013265.1_ASM1326v1_genomic.gff	364106
GCF_000013285.1_ASM1328v1_genomic.gff	195103
GCF_000013305.1_ASM1330v1_genomic.gff	362663
GCF_000013325.1_ASM1332v1_genomic.gff	279238
GCF_000013325.1_ASM1332v1_genomic.gff	279238
GCF_000013325.1_ASM1332v1_genomic.gff	279238
GCF_000013345.1_ASM1334v1_genomic.gff	106370
GCF_000013365.1_ASM1336v1_genomic.gff	316058
GCF_000013405.1_ASM1340v1_genomic.gff	56780
GCF_000013425.1_ASM1342v1_genomic.gff	93061
GCF_000013445.1_ASM1344v1_genomic.gff	323259
GCF_000013485.1_ASM1348v1_genomic.gff	370551
GCF_000013505.1_ASM1350v1_genomic.gff	370552
GCF_000013545.1_ASM1354v1_genomic.gff	370554
GCF_000013565.1_ASM1356v1_genomic.gff	290400
GCF_000013565.1_ASM1356v1_genomic.gff	290400
GCF_000013605.1_ASM1360v1_genomic.gff	338969
GCF_000013605.1_ASM1360v1_genomic.gff	338969
GCF_000013625.1_ASM1362v1_genomic.gff	375286
GCF_000013645.1_ASM1364v1_genomic.gff	266265
GCF_000013645.1_ASM1364v1_genomic.gff	266265
GCF_000013645.1_ASM1364v1_genomic.gff	266265
GCF_000013665.1_ASM1366v1_genomic.gff	203122
GCF_000013705.1_ASM1370v1_genomic.gff	265072
GCF_000013725.1_ASM1372v1_genomic.gff	259564
GCF_000013765.1_ASM1376v1_genomic.gff	318161
GCF_000013785.1_ASM1378v1_genomic.gff	379731
GCF_000013805.1_ASM1380v1_genomic.gff	377628
GCF_000013805.1_ASM1380v1_genomic.gff	377628
GCF_000013805.1_ASM1380v1_genomic.gff	377628
GCF_000013825.1_ASM1382v1_genomic.gff	360102
GCF_000013825.1_ASM1382v1_genomic.gff	360102
GCF_000013825.1_ASM1382v1_genomic.gff	360102
GCF_000013825.1_ASM1382v1_genomic.gff	360102
GCF_000013865.1_ASM1386v1_genomic.gff	296591
GCF_000013865.1_ASM1386v1_genomic.gff	296591
GCF_000013865.1_ASM1386v1_genomic.gff	296591
GCF_000013885.1_ASM1388v1_genomic.gff	323097
GCF_000013885.1_ASM1388v1_genomic.gff	323097
GCF_000013885.1_ASM1388v1_genomic.gff	323097
GCF_000013885.1_ASM1388v1_genomic.gff	323097
GCF_000013905.1_ASM1390v1_genomic.gff	335284
GCF_000013905.1_ASM1390v1_genomic.gff	335284
GCF_000013925.1_ASM1392v2_genomic.gff	362242
GCF_000013925.1_ASM1392v2_genomic.gff	362242
GCF_000013985.1_ASM1398v1_genomic.gff	317655
GCF_000013985.1_ASM1398v1_genomic.gff	317655
GCF_000014025.1_ASM1402v1_genomic.gff	367737
GCF_000014045.1_ASM1404v1_genomic.gff	375451
GCF_000014045.1_ASM1404v1_genomic.gff	375451
GCF_000014045.1_ASM1404v1_genomic.gff	375451
GCF_000014045.1_ASM1404v1_genomic.gff	375451
GCF_000014045.1_ASM1404v1_genomic.gff	375451
GCF_000014105.1_ASM1410v1_genomic.gff	374833
GCF_000014125.1_ASM1412v1_genomic.gff	386415
GCF_000014145.1_ASM1414v1_genomic.gff	269798
GCF_000014185.1_ASM1418v1_genomic.gff	266117
GCF_000014205.1_ASM1420v1_genomic.gff	388919
GCF_000014285.2_ASM1428v2_genomic.gff	391165
GCF_000014345.1_ASM1434v1_genomic.gff	293613
GCF_000014365.2_ASM1436v2_genomic.gff	373153
GCF_000014385.1_ASM1438v1_genomic.gff	203123
GCF_000014405.1_ASM1440v1_genomic.gff	321956
GCF_000014425.1_ASM1442v1_genomic.gff	324831
GCF_000014445.1_ASM1444v1_genomic.gff	203120
GCF_000014445.1_ASM1444v1_genomic.gff	203120
GCF_000014465.1_ASM1446v1_genomic.gff	387344
GCF_000014465.1_ASM1446v1_genomic.gff	387344
GCF_000014465.1_ASM1446v1_genomic.gff	387344
GCF_000014485.1_ASM1448v1_genomic.gff	322159
GCF_000014485.1_ASM1448v1_genomic.gff	322159
GCF_000014485.1_ASM1448v1_genomic.gff	322159
GCF_000014505.1_ASM1450v1_genomic.gff	278197
GCF_000014525.1_ASM1452v1_genomic.gff	321967
GCF_000014525.1_ASM1452v1_genomic.gff	321967
GCF_000014545.1_ASM1454v1_genomic.gff	272622
GCF_000014545.1_ASM1454v1_genomic.gff	272622
GCF_000014545.1_ASM1454v1_genomic.gff	272622
GCF_000014545.1_ASM1454v1_genomic.gff	272622
GCF_000014545.1_ASM1454v1_genomic.gff	272622
GCF_000014545.1_ASM1454v1_genomic.gff	272622
GCF_000014565.1_ASM1456v1_genomic.gff	101510
GCF_000014565.1_ASM1456v1_genomic.gff	101510
GCF_000014565.1_ASM1456v1_genomic.gff	101510
GCF_000014565.1_ASM1456v1_genomic.gff	101510
GCF_000014585.1_ASM1458v1_genomic.gff	64471
