Locus,CDS,ProteinID,uniprot_id,Gene,Mean.tpm
b0118,lcl|NC_000913.3_cds_NP_414660.1_118,NP_414660.1,P36683,acnB,384.8226864414313
b0119,lcl|NC_000913.3_cds_NP_414661.2_119,NP_414661.2,P0A8E5,yacL,119.47874287922517
b0120,lcl|NC_000913.3_cds_NP_414662.1_120,NP_414662.1,P0A7F6,speD,267.1094157831207
b0121,lcl|NC_000913.3_cds_NP_414663.1_121,NP_414663.1,P09158,speE,313.215021989687
b0122,lcl|NC_000913.3_cds_NP_414664.4_122,NP_414664.4,P0AA95,yacC,36.80828711037774
b0123,lcl|NC_000913.3_cds_NP_414665.1_123,NP_414665.1,P36649,cueO,31.621511665320494
b0124,lcl|NC_000913.3_cds_NP_414666.1_124,NP_414666.1,P15877,gcd,28.597202660400193
b0125,lcl|NC_000913.3_cds_NP_414667.4_125,NP_414667.4,P0A9M2,hpt,432.02203647499294
b0126,lcl|NC_000913.3_cds_NP_414668.1_126,NP_414668.1,P61517,can,404.22475183986415
b0127,lcl|NC_000913.3_cds_NP_414669.1_127,NP_414669.1,P36879,yadG,45.89825704751762
b0128,lcl|NC_000913.3_cds_NP_414670.1_128,NP_414670.1,P0AFN6,yadH,29.99299918314273
b0131,lcl|NC_000913.3_cds_NP_414673.1_131,NP_414673.1,P0A790,panD,950.167879903336
b0133,lcl|NC_000913.3_cds_NP_414675.1_133,NP_414675.1,P31663,panC,214.21101745708603
b0134,lcl|NC_000913.3_cds_NP_414676.1_134,NP_414676.1,P31057,panB,471.38900072021187
b0142,lcl|NC_000913.3_cds_NP_414684.1_142,NP_414684.1,P26281,folK,23.71455249419648
b0143,lcl|NC_000913.3_cds_NP_414685.4_143,NP_414685.4,P0ABF1,pcnB,66.20090633820661
b0144,lcl|NC_000913.3_cds_NP_414686.3_144,NP_414686.3,P27305,gluQ,7.967433714816836
b0145,lcl|NC_000913.3_cds_NP_414687.1_145,NP_414687.1,P0ABS1,dksA,1119.663230618921
b0146,lcl|NC_000913.3_cds_NP_414688.1_146,NP_414688.1,P0A823,sfsA,22.438137177582274
b0148,lcl|NC_000913.3_cds_NP_414690.4_148,NP_414690.4,P37024,hrpB,7.59934207678533
b0149,lcl|NC_000913.3_cds_NP_414691.1_149,NP_414691.1,NA,mrcB,25.944363549719228
b0150,lcl|NC_000913.3_cds_NP_414692.1_151,NP_414692.1,P06971,fhuA,23.250806437627062
b0154,lcl|NC_000913.3_cds_NP_414696.1_155,NP_414696.1,P23893,hemL,269.8269445403849
b0155,lcl|NC_000913.3_cds_NP_414697.1_157,NP_414697.1,P37019,clcA,9.74371592360943
b0156,lcl|NC_000913.3_cds_NP_414698.1_159,NP_414698.1,P0ACC3,erpA,583.1385770123597
b0158,lcl|NC_000913.3_cds_NP_414700.1_161,NP_414700.1,P37028,btuF,19.242141252989487
b0159,lcl|NC_000913.3_cds_NP_414701.1_162,NP_414701.1,P0AF12,mtn,380.4622188864486
b0160,lcl|NC_000913.3_cds_NP_414702.1_163,NP_414702.1,P15723,dgt,8.016233529532432
b0161,lcl|NC_000913.3_cds_NP_414703.1_164,NP_414703.1,P0C0V0,degP,138.29251606648856
b0163,lcl|NC_000913.3_cds_NP_414705.1_166,NP_414705.1,P62768,yaeH,82.35532769651277
b0166,lcl|NC_000913.3_cds_NP_414708.1_168,NP_414708.1,P0A9D8,dapD,1021.4283332667052
b0167,lcl|NC_000913.3_cds_NP_414709.1_169,NP_414709.1,P27249,glnD,9.555103348473004
b0168,lcl|NC_000913.3_cds_NP_414710.1_170,NP_414710.1,P0AE18,map,539.2490148345199
b0169,lcl|NC_000913.3_cds_NP_414711.1_171,NP_414711.1,P0A7V0,rpsB,8567.884946706508
b0170,lcl|NC_000913.3_cds_NP_414712.1_172,NP_414712.1,P0A6P1,tsf,5525.205619703218
b0171,lcl|NC_000913.3_cds_NP_414713.1_173,NP_414713.1,P0A7E9,pyrH,443.04717581765516
b0172,lcl|NC_000913.3_cds_NP_414714.1_174,NP_414714.1,P0A805,frr,1166.3187986138269
b0173,lcl|NC_000913.3_cds_NP_414715.1_175,NP_414715.1,P45568,dxr,31.971862629505956
b0174,lcl|NC_000913.3_cds_NP_414716.1_176,NP_414716.1,P60472,ispU,58.38304548411292
b0175,lcl|NC_000913.3_cds_NP_414717.2_177,NP_414717.2,P0ABG1,cdsA,36.85607141299787
b0176,lcl|NC_000913.3_cds_NP_414718.1_178,NP_414718.1,P0AEH1,rseP,18.916659324521333
b0177,lcl|NC_000913.3_cds_NP_414719.1_179,NP_414719.1,P0A940,bamA,225.39665037440113
b0178,lcl|NC_000913.3_cds_NP_414720.1_180,NP_414720.1,P0AEU7,skp,1159.6418757530278
b0179,lcl|NC_000913.3_cds_NP_414721.1_181,NP_414721.1,P21645,lpxD,245.1490159066523
b0180,lcl|NC_000913.3_cds_NP_414722.1_182,NP_414722.1,P0A6Q6,fabZ,1169.3053493420784
b0181,lcl|NC_000913.3_cds_NP_414723.1_183,NP_414723.1,P0A722,lpxA,223.5633243624723
b0182,lcl|NC_000913.3_cds_NP_414724.1_184,NP_414724.1,P10441,lpxB,23.099999999999998
b0183,lcl|NC_000913.3_cds_NP_414725.1_185,NP_414725.1,P10442,rnhB,28.930952282978865
b0184,lcl|NC_000913.3_cds_NP_414726.1_186,NP_414726.1,P10443,dnaE,17.10555465338672
b0185,lcl|NC_000913.3_cds_NP_414727.1_187,NP_414727.1,P0ABD5,accA,536.2519930032896
b0187,lcl|NC_000913.3_cds_NP_414729.4_189,NP_414729.4,P52096,yaeR,18.08645902325826
b0188,lcl|NC_000913.3_cds_NP_414730.1_190,NP_414730.1,P52097,tilS,21.576839434912614
b0189,lcl|NC_000913.3_cds_NP_414731.2_191,NP_414731.2,P0AFW8,rof,91.77946393393235
b0190,lcl|NC_000913.3_cds_NP_414732.1_193,NP_414732.1,P0AA97,yaeQ,41.371487766334916
b0192,lcl|NC_000913.3_cds_NP_414734.1_195,NP_414734.1,P40710,nlpE,31.399840763927454
b0194,lcl|NC_000913.3_cds_NP_414736.1_197,NP_414736.1,P16659,proS,601.9886294607234
b0195,lcl|NC_000913.3_cds_NP_414737.1_198,NP_414737.1,P28634,trmO,28.014282071828998
b0196,lcl|NC_000913.3_cds_NP_414738.1_199,NP_414738.1,P69411,rcsF,173.14254243252878
b0197,lcl|NC_000913.3_cds_NP_414739.1_200,NP_414739.1,P28635,metQ,347.04869975264273
b0198,lcl|NC_000913.3_cds_NP_414740.1_201,NP_414740.1,P31547,metI,55.596762495670546
b0199,lcl|NC_000913.3_cds_NP_414741.1_202,NP_414741.1,P30750,metN,89.89727470841372
b0200,lcl|NC_000913.3_cds_NP_414742.1_203,NP_414742.1,P63228,gmhB,76.93347775838552
b0207,lcl|NC_000913.3_cds_NP_414743.1_204,NP_414743.1,P30863,dkgB,26.832815729997478
b0208,lcl|NC_000913.3_cds_NP_414744.1_205,NP_414744.1,P30864,yafC,18.850464185266105
b0209,lcl|NC_000913.3_cds_NP_414745.1_206,NP_414745.1,P0A8U2,yafD,15.12580576366099
b0211,lcl|NC_000913.3_cds_NP_414747.1_208,NP_414747.1,P0AEZ7,mltD,46.62574396189297
b0212,lcl|NC_000913.3_cds_NP_414748.1_209,NP_414748.1,P0AC84,gloB,32.74232734550188
b0214,lcl|NC_000913.3_cds_NP_414750.1_212,NP_414750.1,P0A7Y4,rnhA,40.24301181571777
b0215,lcl|NC_000913.3_cds_NP_414751.1_213,NP_414751.1,P03007,dnaQ,59.786787838116865
b0219,lcl|NC_000913.3_cds_NP_414754.1_216,NP_414754.1,Q47679,yafV,11.87349990525119
b0220,lcl|NC_000913.3_cds_NP_414755.1_217,NP_414755.1,P0AD59,ivy,70.36405332270166
b0222,lcl|NC_000913.3_cds_NP_414757.1_219,NP_414757.1,P63224,gmhA,322.69358530965576
b0223,lcl|NC_000913.3_cds_NP_414758.1_220,NP_414758.1,Q47147,yafJ,23.222402976436346
b0224,lcl|NC_000913.3_cds_NP_414759.1_221,NP_414759.1,P0AA99,dpaA,146.10215604158626
b0226,lcl|NC_000913.3_cds_NP_414761.1_223,NP_414761.1,Q47150,dinJ,66.34756966159348
b0237,lcl|NC_000913.3_cds_NP_414772.1_230,NP_414772.1,P15288,pepD,487.45043850631606
b0238,lcl|NC_000913.3_cds_NP_414773.1_231,NP_414773.1,P0A9M5,gpt,1032.8078088395735
b0239,lcl|NC_000913.3_cds_NP_414774.1_232,NP_414774.1,P04335,frsA,47.228487166116174
b0241,lcl|NC_000913.3_cds_NP_414776.1_236,NP_414776.1,P02932,phoE,13.416407864998739
b0242,lcl|NC_000913.3_cds_NP_414777.1_237,NP_414777.1,P0A7B5,proB,139.3424558417139
b0243,lcl|NC_000913.3_cds_NP_414778.1_238,NP_414778.1,P07004,proA,138.43626692453097
b0256,lcl|NC_000913.3_cds_NP_414790.1_251,NP_414790.1,P0CF88,insI1,12.874781551544864
b0268,lcl|NC_000913.3_cds_NP_414802.2_261,NP_414802.2,P75682,yagE,9.787236586493657
b0269,lcl|NC_000913.3_cds_NP_414803.1_262,NP_414803.1,P77596,yagF,5.049752469181039
b0273,lcl|NC_000913.3_cds_NP_414807.1_266,NP_414807.1,P06960,argF,17.242099640125037
b0280,lcl|NC_000913.3_cds_NP_414814.1_276,NP_414814.1,P71297,yagN,149.3406843428809
b0281,lcl|NC_000913.3_cds_NP_414815.1_277,NP_414815.1,P71298,intF,49.43723293227483
b0287,lcl|NC_000913.3_cds_NP_414821.1_283,NP_414821.1,P0AAA1,yagU,154.8135652971018
b0311,lcl|NC_000913.3_cds_NP_414845.1_305,NP_414845.1,P17444,betA,6.079473661428264
b0312,lcl|NC_000913.3_cds_NP_414846.1_306,NP_414846.1,P17445,betB,15.001333274079343
b0314,lcl|NC_000913.3_cds_NP_414848.1_308,NP_414848.1,P0ABC9,betT,3.286335345030997
b0315,lcl|NC_000913.3_cds_NP_414849.1_310,NP_414849.1,P21514,pdeL,14.787832836490951
b0324,lcl|NC_000913.3_cds_NP_414858.1_319,NP_414858.1,P77554,yahJ,9.219544457292889
b0325,lcl|NC_000913.3_cds_NP_414859.1_320,NP_414859.1,P75691,yahK,11.140915581764364
b0336,lcl|NC_000913.3_cds_NP_414870.1_330,NP_414870.1,P0AA82,codB,27.63693181234126
b0337,lcl|NC_000913.3_cds_NP_414871.1_331,NP_414871.1,P25524,codA,84.18432158068394
b0345,lcl|NC_000913.3_cds_NP_414879.3_339,NP_414879.3,P03023,lacI,16.87898101189761
b0354,lcl|NC_000913.3_cds_NP_414888.4_348,NP_414888.4,P51024,yaiL,78.57938660997551
b0355,lcl|NC_000913.3_cds_NP_414889.1_349,NP_414889.1,P51025,frmB,56.0428407559788
b0356,lcl|NC_000913.3_cds_NP_414890.1_350,NP_414890.1,P25437,frmA,219.66374302556181
b0357,lcl|NC_000913.3_cds_NP_414891.4_351,NP_414891.4,P0AAP3,frmR,51.456292132255335
b0369,lcl|NC_000913.3_cds_NP_414903.4_363,NP_414903.4,P0ACB2,hemB,211.1124818668947
b0376,lcl|NC_000913.3_cds_NP_414910.1_369,NP_414910.1,P0AD70,ampH,20.6881608655772
b0378,lcl|NC_000913.3_cds_NP_414912.1_371,NP_414912.1,P77562,yaiW,14.600000000000001
b0381,lcl|NC_000913.3_cds_NP_414915.1_374,NP_414915.1,P0A6J8,ddlA,254.44956278209636
b0382,lcl|NC_000913.3_cds_NP_414916.1_375,NP_414916.1,P0AAN9,iraP,36.13751513316874
b0383,lcl|NC_000913.3_cds_NP_414917.2_376,NP_414917.2,P00634,phoA,9.404254356406998
b0386,lcl|NC_000913.3_cds_NP_414920.1_379,NP_414920.1,P0A9L8,proC,129.78042995767885
b0387,lcl|NC_000913.3_cds_NP_414921.2_380,NP_414921.2,P0A8D3,yaiI,28.80833212804935
b0388,lcl|NC_000913.3_cds_NP_414922.1_381,NP_414922.1,P0A6E1,aroL,28.170906978654422
b0390,lcl|NC_000913.3_cds_NP_414924.1_383,NP_414924.1,P0AE28,aroM,16.43715303816327
b0391,lcl|NC_000913.3_cds_NP_414925.1_384,NP_414925.1,P0C037,ppnP,151.7102501481031
b0393,lcl|NC_000913.3_cds_NP_414927.1_386,NP_414927.1,P36767,rdgC,146.8819934505248
b0394,lcl|NC_000913.3_cds_NP_414928.2_387,NP_414928.2,P23917,mak,35.65669642577674
b0397,lcl|NC_000913.3_cds_NP_414931.1_389,NP_414931.1,P13458,sbcC,6.979971346646059
b0398,lcl|NC_000913.3_cds_NP_414932.1_390,NP_414932.1,P0AG76,sbcD,16.496363235574073
b0399,lcl|NC_000913.3_cds_NP_414933.1_391,NP_414933.1,P0AFJ5,phoB,15.91540134586621
b0401,lcl|NC_000913.3_cds_NP_414935.1_393,NP_414935.1,P0AD99,brnQ,139.82789421285008
b0402,lcl|NC_000913.3_cds_NP_414936.1_394,NP_414936.1,P0AAE2,proY,47.448709149986364
b0403,lcl|NC_000913.3_cds_NP_414937.2_395,NP_414937.2,P21517,malZ,6.688049042882386
b0405,lcl|NC_000913.3_cds_NP_414939.1_397,NP_414939.1,P0A7F9,queA,84.78295819325959
b0406,lcl|NC_000913.3_cds_NP_414940.1_398,NP_414940.1,P0A847,tgt,389.63049161994513
b0407,lcl|NC_000913.3_cds_NP_414941.1_399,NP_414941.1,P0ADZ7,yajC,1374.5095125171015
b0408,lcl|NC_000913.3_cds_NP_414942.1_400,NP_414942.1,P0AG90,secD,122.6014681804423
b0409,lcl|NC_000913.3_cds_NP_414943.1_401,NP_414943.1,P0AG93,secF,123.18189802077252
b0410,lcl|NC_000913.3_cds_NP_414944.1_402,NP_414944.1,P0AAQ2,yajD,49.66235999225168
b0411,lcl|NC_000913.3_cds_NP_414945.1_403,NP_414945.1,P0A927,tsx,682.5715347126628
b0413,lcl|NC_000913.3_cds_NP_414947.1_405,NP_414947.1,P0A8D0,nrdR,57.631241527490985
b0414,lcl|NC_000913.3_cds_NP_414948.1_406,NP_414948.1,P25539,ribD,43.10127608319736
b0415,lcl|NC_000913.3_cds_NP_414949.1_407,NP_414949.1,P61714,ribE,686.1123377406938
b0416,lcl|NC_000913.3_cds_NP_414950.1_408,NP_414950.1,P0A780,nusB,316.15657513327164
b0417,lcl|NC_000913.3_cds_NP_414951.1_409,NP_414951.1,P0AGG0,thiL,24.70141696340515
b0418,lcl|NC_000913.3_cds_NP_414952.1_410,NP_414952.1,P18200,pgpA,21.69170348312921
b0419,lcl|NC_000913.3_cds_NP_414953.2_411,NP_414953.2,P77735,yajO,12.465953633797936
b0420,lcl|NC_000913.3_cds_NP_414954.1_412,NP_414954.1,P77488,dxs,38.333275362275
b0421,lcl|NC_000913.3_cds_NP_414955.1_413,NP_414955.1,P22939,ispA,53.017732882498855
b0422,lcl|NC_000913.3_cds_NP_414956.1_414,NP_414956.1,P0A8G9,xseB,96.26712834607667
b0423,lcl|NC_000913.3_cds_NP_414957.1_415,NP_414957.1,P77718,thiI,183.19306755442472
b0424,lcl|NC_000913.3_cds_NP_414958.4_416,NP_414958.4,Q46948,yajL,79.73857284902961
b0425,lcl|NC_000913.3_cds_NP_414959.1_417,NP_414959.1,P0A9J4,panE,42.77662913320779
b0426,lcl|NC_000913.3_cds_NP_414960.2_418,NP_414960.2,P0A8E7,yajQ,997.9981563109222
b0427,lcl|NC_000913.3_cds_NP_414961.4_419,NP_414961.4,P77726,yajR,7.155417527999326
b0428,lcl|NC_000913.3_cds_NP_414962.1_420,NP_414962.1,P0AEA5,cyoE,141.91638383217077
b0429,lcl|NC_000913.3_cds_NP_414963.1_421,NP_414963.1,P0ABJ6,cyoD,754.5396609854246
b0430,lcl|NC_000913.3_cds_NP_414964.1_422,NP_414964.1,P0ABJ3,cyoC,730.8187189720858
b0431,lcl|NC_000913.3_cds_NP_414965.1_423,NP_414965.1,P0ABI8,cyoB,438.0482165241628
b0432,lcl|NC_000913.3_cds_NP_414966.1_424,NP_414966.1,P0ABJ1,cyoA,612.8510422606786
b0433,lcl|NC_000913.3_cds_NP_414967.1_425,NP_414967.1,P0AE16,ampG,9.748846085563153
b0434,lcl|NC_000913.3_cds_NP_414968.4_426,NP_414968.4,P0ADA5,yajG,376.0431890089222
b0435,lcl|NC_000913.3_cds_NP_414969.4_427,NP_414969.4,P0ABE2,bolA,162.4266603732281
b0436,lcl|NC_000913.3_cds_NP_414970.1_428,NP_414970.1,P0A850,tig,3595.225433821916
b0437,lcl|NC_000913.3_cds_NP_414971.1_429,NP_414971.1,P0A6G7,clpP,564.5147473715812
b0438,lcl|NC_000913.3_cds_NP_414972.1_430,NP_414972.1,P0A6H1,clpX,335.1981951025391
b0439,lcl|NC_000913.3_cds_NP_414973.1_431,NP_414973.1,P0A9M0,lon,267.9747749322685
b0440,lcl|NC_000913.3_cds_NP_414974.1_432,NP_414974.1,P0ACF4,hupB,3944.690406102871
b0441,lcl|NC_000913.3_cds_NP_414975.1_433,NP_414975.1,P0ADY1,ppiD,185.1239044532067
b0444,lcl|NC_000913.3_cds_NP_414978.1_436,NP_414978.1,P77756,queC,112.58290278723494
b0452,lcl|NC_000913.3_cds_NP_414986.1_444,NP_414986.1,P0AGG2,tesB,63.81214617923456
b0453,lcl|NC_000913.3_cds_NP_414987.3_445,NP_414987.3,P77717,ybaY,37.82591704109763
b0458,lcl|NC_000913.3_cds_NP_414991.4_449,NP_414991.4,P0AAS0,ylaC,43.428331766256
b0459,lcl|NC_000913.3_cds_NP_414992.1_450,NP_414992.1,P77791,maa,26.339703870772723
b0460,lcl|NC_000913.3_cds_NP_414993.1_451,NP_414993.1,P0ACE3,hha,149.44738204465145
b0462,lcl|NC_000913.3_cds_NP_414995.1_453,NP_414995.1,P31224,acrB,91.29337325348432
b0463,lcl|NC_000913.3_cds_NP_414996.1_454,NP_414996.1,P0AE06,acrA,206.73112973134934
b0464,lcl|NC_000913.3_cds_NP_414997.1_455,NP_414997.1,P0ACS9,acrR,19.842378889639217
b0465,lcl|NC_000913.3_cds_NP_414998.1_456,NP_414998.1,P77338,mscK,21.588654427731242
b0469,lcl|NC_000913.3_cds_NP_415002.1_460,NP_415002.1,P69503,apt,849.2563923810055
b0470,lcl|NC_000913.3_cds_NP_415003.1_461,NP_415003.1,NA,dnaX,21.272987566395088
b0471,lcl|NC_000913.3_cds_NP_415004.1_463,NP_415004.1,P0A8B5,ybaB,757.6767648542483
b0472,lcl|NC_000913.3_cds_NP_415005.1_464,NP_415005.1,P0A7H6,recR,80.5869096069579
b0473,lcl|NC_000913.3_cds_NP_415006.1_465,NP_415006.1,P0A6Z3,htpG,529.2179513206253
b0474,lcl|NC_000913.3_cds_NP_415007.1_466,NP_415007.1,P69441,adk,1683.7958783653085
b0475,lcl|NC_000913.3_cds_NP_415008.1_467,NP_415008.1,P23871,hemH,25.045957757690157
b0477,lcl|NC_000913.3_cds_NP_415010.1_469,NP_415010.1,P0AEW6,gsk,88.37703321564943
b0478,lcl|NC_000913.3_cds_NP_415011.1_470,NP_415011.1,P39830,ybaL,20.000249998437514
b0479,lcl|NC_000913.3_cds_NP_415012.1_471,NP_415012.1,P52067,fsr,7.445804187594513
b0480,lcl|NC_000913.3_cds_NP_415013.1_472,NP_415013.1,P07024,ushA,42.04759208325729
b0481,lcl|NC_000913.3_cds_NP_415014.1_473,NP_415014.1,P0AAR3,ybaK,106.18210772065132
b0483,lcl|NC_000913.3_cds_NP_415016.4_475,NP_415016.4,P0A9T6,ybaQ,44.39988738724458
b0484,lcl|NC_000913.3_cds_NP_415017.1_476,NP_415017.1,Q59385,copA,13.186356585501546
b0487,lcl|NC_000913.3_cds_NP_415020.1_480,NP_415020.1,P0A9G4,cueR,28.107294426892103
b0489,lcl|NC_000913.3_cds_NP_415022.1_482,NP_415022.1,P0AA53,qmcA,13.090454537562856
b0490,lcl|NC_000913.3_cds_NP_415023.1_483,NP_415023.1,P77279,fetA,26.019992313603783
b0492,lcl|NC_000913.3_cds_NP_415025.4_485,NP_415025.4,P77395,cnoX,290.0587871449509
b0493,lcl|NC_000913.3_cds_NP_415026.1_486,NP_415026.1,P0AFP4,ybbO,28.80833212804935
b0494,lcl|NC_000913.3_cds_NP_415027.1_487,NP_415027.1,P0ADA1,tesA,26.53299832284321
b0503,lcl|NC_000913.3_cds_NP_415036.1_493,NP_415036.1,P33667,selU,14.625320509308507
b0506,lcl|NC_000913.3_cds_NP_415039.1_496,NP_415039.1,P0ACN4,allR,110.63475945651076
b0515,lcl|NC_000913.3_cds_NP_415048.1_504,NP_415048.1,P75713,allE,22.94558781116753
b0522,lcl|NC_000913.3_cds_NP_415055.1_511,NP_415055.1,P09029,purK,36.35037826488193
b0523,lcl|NC_000913.3_cds_NP_415056.1_512,NP_415056.1,P0AG18,purE,56.466981502467455
b0524,lcl|NC_000913.3_cds_NP_415057.1_513,NP_415057.1,P43341,lpxH,42.72879591095448
b0525,lcl|NC_000913.3_cds_NP_415058.1_514,NP_415058.1,P23869,ppiB,1948.9225536177669
b0526,lcl|NC_000913.3_cds_NP_415059.1_515,NP_415059.1,P21888,cysS,248.01999919361342
b0528,lcl|NC_000913.3_cds_NP_415061.2_517,NP_415061.2,P0AAS7,ybcJ,222.15199751521482
b0529,lcl|NC_000913.3_cds_NP_415062.1_518,NP_415062.1,P24186,folD,298.9188518645152
b0543,lcl|NC_000913.3_cds_NP_415075.1_529,NP_415075.1,P23895,emrE,44.63754025481242
b0557,lcl|NC_000913.3_cds_NP_415089.1_547,NP_415089.1,P77330,borD,2099.610306699793
